"filename","line_of_code"
"iter3 - GPT4_prompt_13_CharityDonationTracker_slither_report_1.txt","26"
"iter3 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt","19"
"iter3 - GPT4_prompt_15_EthDistributor_slither_report_1.txt","20"
"iter3 - GPT4_prompt_16_Escrow_slither_report_1.txt","36"
"iter3 - GPT4_prompt_17_Raffle_slither_report_1.txt","35"
"iter3 - GPT4_prompt_18_JobBoard_slither_report_1.txt","35"
"iter3 - GPT4_prompt_19_TodoList_slither_report_1.txt","32"
"iter3 - GPT4_prompt_2_NameRegistry_slither_report_1.txt","19"
"iter3 - GPT4_prompt_20_PropertyRegistry_slither_report_1.txt","42"
"iter3 - GPT4_prompt_21_EventAttendance_slither_report_1.txt","19"
"iter3 - GPT4_prompt_22_TokenAirdrop_slither_report_1.txt","23"
"iter3 - GPT4_prompt_23_TipJar_slither_report_1.txt","19"
"iter3 - GPT4_prompt_24_VotingAccessControl_slither_report_1.txt","53"
"iter3 - GPT4_prompt_25_DecentralizedNameService_slither_report_1.txt","28"
"iter3 - GPT4_prompt_26_RecurringPayments_slither_report_1.txt","47"
"iter3 - GPT4_prompt_27_CertificateNFT_slither_report_1.txt","34"
"iter3 - GPT4_prompt_28_ReputationSystem_slither_report_1.txt","25"
"iter3 - GPT4_prompt_29_EncryptedDataStore_slither_report_1.txt","27"
"iter3 - GPT4_prompt_3_Crowdfunding_slither_report_1.txt","38"
"iter3 - GPT4_prompt_30_TimeBasedAuction_slither_report_1.txt","39"
"iter3 - GPT4_prompt_31_FeeVault_slither_report_1.txt","31"
"iter3 - GPT4_prompt_32_TaskRewardSystem_slither_report_1.txt","46"
"iter3 - GPT4_prompt_33_CommunityProposals_slither_report_1.txt","44"
"iter3 - GPT4_prompt_34_MessageWithLikes_slither_report_1.txt","33"
"iter3 - GPT4_prompt_35_PausableTransfer_slither_report_1.txt","34"
"iter3 - GPT4_prompt_4_TokenVesting_slither_report_1.txt","36"
"iter3 - GPT4_prompt_5_Marketplace_slither_report_1.txt","29"
"iter3 - GPT4_prompt_6_LikeTracker_slither_report_1.txt","15"
"iter3 - GPT4_prompt_7_SimpleVoting_slither_report_1.txt","44"
"iter3 - GPT4_prompt_8_MessageBoard_slither_report_1.txt","23"
"iter3 - GPT4_prompt_9_LoyaltyPoints_slither_report_1.txt","23"
"iter4 - Claude4.5_prompt_1_SavingsWallet_slither_report_1.txt","72"
"iter4 - Claude4.5_prompt_10_StakingLock_slither_report_1.txt","181"
"iter4 - Claude4.5_prompt_11_SubscriptionSystem_slither_report_1.txt","176"
"iter4 - Claude4.5_prompt_12_FeedbackSystem_slither_report_1.txt","206"
"iter4 - Claude4.5_prompt_13_CharityDonationTracker_slither_report_1.txt","225"
"iter4 - Claude4.5_prompt_14_TokenFaucet_slither_report_1.txt","200"
"iter4 - Claude4.5_prompt_15_ETHDistributor_slither_report_1.txt","158"
"iter4 - Claude4.5_prompt_16_EscrowSystem_slither_report_1.txt","253"
"iter4 - Claude4.5_prompt_17_Raffle_slither_report_1.txt","242"
"iter4 - Claude4.5_prompt_18_JobBoard_slither_report_1.txt","271"
"iter4 - Claude4.5_prompt_19_ToDoList_slither_report_1.txt","283"
"iter4 - Claude4.5_prompt_2_NameRegistry_slither_report_1.txt","96"
"iter4 - Claude4.5_prompt_20_PropertyRegistry_slither_report_1.txt","254"
"iter4 - Claude4.5_prompt_21_AttendanceLogger_slither_report_1.txt","293"
"iter4 - Claude4.5_prompt_22_TokenAirdrop_slither_report_1.txt","271"
"iter4 - Claude4.5_prompt_23_TipJar_slither_report_1.txt","266"
"iter4 - Claude4.5_prompt_24_VotingAccessControl_slither_report_1.txt","320"
"iter4 - Claude4.5_prompt_25_DecentralizedNameService_slither_report_1.txt","278"
"iter4 - Claude4.5_prompt_26_RecurringPayment_slither_report_1.txt","317"
"iter4 - Claude4.5_prompt_27_NFTCertificate_slither_report_1.txt","335"
"iter4 - Claude4.5_prompt_28_ReputationSystem_slither_report_1.txt","343"
"iter4 - Claude4.5_prompt_29_EncryptedDataStorage_slither_report_1.txt","349"
"iter4 - Claude4.5_prompt_3_Crowdfunding_slither_report_1.txt","112"
"iter4 - Claude4.5_prompt_30_TimeBasedAuction_slither_report_1.txt","367"
"iter4 - Claude4.5_prompt_31_ETHDepositWithFee_slither_report_1.txt","264"
"iter4 - Claude4.5_prompt_32_TaskRewardSystem_slither_report_1.txt","395"
"iter4 - Claude4.5_prompt_33_CommunityProposals_slither_report_1.txt","415"
"iter4 - Claude4.5_prompt_34_OnChainMessaging_slither_report_1.txt","386"
"iter4 - Claude4.5_prompt_35_PausableETHTransfer_slither_report_1.txt","367"
"iter4 - Claude4.5_prompt_4_TokenVesting_slither_report_1.txt","144"
"iter4 - Claude4.5_prompt_5_Marketplace_slither_report_1.txt","178"
"iter4 - Claude4.5_prompt_6_LikeTracker_slither_report_1.txt","74"
"iter4 - Claude4.5_prompt_7_VotingSystem_slither_report_1.txt","169"
"iter4 - Claude4.5_prompt_8_MessageBoard_slither_report_1.txt","141"
"iter4 - Claude4.5_prompt_9_LoyaltyPoints_slither_report_1.txt","134"
"iter4 - Gemini2.5_prompt_1_SavingsWallet_slither_report_1.txt","21"
"iter4 - Gemini2.5_prompt_10_EthLocker_slither_report_1.txt","50"
"iter4 - Gemini2.5_prompt_11_SubscriptionService_slither_report_1.txt","39"
"iter4 - Gemini2.5_prompt_12_FeedbackSystem_slither_report_1.txt","28"
"iter4 - Gemini2.5_prompt_13_CharityDonation_slither_report_1.txt","38"
"iter4 - Gemini2.5_prompt_14_TokenFaucet_slither_report_1.txt","39"
"iter4 - Gemini2.5_prompt_15_EthDistributor_slither_report_1.txt","33"
"iter4 - Gemini2.5_prompt_16_Escrow_slither_report_1.txt","55"
"iter4 - Gemini2.5_prompt_17_Raffle_slither_report_1.txt","41"
"iter4 - Gemini2.5_prompt_18_JobBoard_slither_report_1.txt","53"
"iter4 - Gemini2.5_prompt_19_TodoList_slither_report_1.txt","30"
"iter4 - Gemini2.5_prompt_2_NameRegistry_slither_report_1.txt","26"
"iter4 - Gemini2.5_prompt_20_PropertyRegistry_slither_report_1.txt","45"
"iter4 - Gemini2.5_prompt_21_EventAttendance_slither_report_1.txt","31"
"iter4 - Gemini2.5_prompt_22_Airdrop_slither_report_1.txt","41"
"iter4 - Gemini2.5_prompt_23_TipJar_slither_report_1.txt","27"
"iter4 - Gemini2.5_prompt_24_AdminVoting_slither_report_1.txt","80"
"iter4 - Gemini2.5_prompt_25_DecentralizedNameService_slither_report_1.txt","33"
"iter4 - Gemini2.5_prompt_26_RecurringPayments_slither_report_1.txt","62"
"iter4 - Gemini2.5_prompt_27_DigitalCertificate_slither_report_1.txt","59"
"iter4 - Gemini2.5_prompt_28_ReputationSystem_slither_report_1.txt","24"
"iter4 - Gemini2.5_prompt_29_EncryptedDataStore_slither_report_1.txt","36"
"iter4 - Gemini2.5_prompt_3_Crowdfunding_slither_report_1.txt","41"
"iter4 - Gemini2.5_prompt_30_TimeBasedAuction_slither_report_1.txt","45"
"iter4 - Gemini2.5_prompt_31_FeeBasedWithdrawal_slither_report_1.txt","33"
"iter4 - Gemini2.5_prompt_32_TaskReward_slither_report_1.txt","56"
"iter4 - Gemini2.5_prompt_33_CommunityProposals_slither_report_1.txt","78"
"iter4 - Gemini2.5_prompt_34_LikableMessages_slither_report_1.txt","38"
"iter4 - Gemini2.5_prompt_35_PausableEthTransfer_slither_report_1.txt","52"
"iter4 - Gemini2.5_prompt_4_TokenVesting_slither_report_1.txt","50"
"iter4 - Gemini2.5_prompt_5_Marketplace_slither_report_1.txt","44"
"iter4 - Gemini2.5_prompt_6_LikeTracker_slither_report_1.txt","17"
"iter4 - Gemini2.5_prompt_7_VotingSystem_slither_report_1.txt","46"
"iter4 - Gemini2.5_prompt_8_MessageBoard_slither_report_1.txt","23"
"iter4 - Gemini2.5_prompt_9_LoyaltyPoints_slither_report_1.txt","28"
"iter4 - GPT4_prompt_1_SavingsWallet_slither_report_1.txt","18"
"iter4 - GPT4_prompt_10_EthLocker_slither_report_1.txt","31"
"iter4 - GPT4_prompt_11_Subscription_slither_report_1.txt","22"
"iter4 - GPT4_prompt_12_Feedback_slither_report_1.txt","23"
"iter4 - GPT4_prompt_13_CharityDonationTracker_slither_report_1.txt","25"
"iter4 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt","19"
"iter4 - GPT4_prompt_15_EthDistributor_slither_report_1.txt","20"
"iter4 - GPT4_prompt_16_Escrow_slither_report_1.txt","34"
"iter4 - GPT4_prompt_17_Raffle_slither_report_1.txt","31"
"iter4 - GPT4_prompt_18_JobBoard_slither_report_1.txt","33"
"iter4 - GPT4_prompt_19_TodoList_slither_report_1.txt","19"
"iter4 - GPT4_prompt_2_NameRegistry_slither_report_1.txt","16"
"iter4 - GPT4_prompt_20_PropertyRegistry_slither_report_1.txt","32"
"iter4 - GPT4_prompt_21_EventAttendance_slither_report_1.txt","16"
"iter4 - GPT4_prompt_22_TokenAirdrop_slither_report_1.txt","23"
"iter4 - GPT4_prompt_23_TipJar_slither_report_1.txt","19"
"iter4 - GPT4_prompt_24_VotingAccessControl_slither_report_1.txt","45"
"iter4 - GPT4_prompt_25_DecentralizedNameService_slither_report_1.txt","26"
"iter4 - GPT4_prompt_26_RecurringPayments_slither_report_1.txt","36"
"iter4 - GPT4_prompt_27_CertificateNFT_slither_report_1.txt","28"
"iter4 - GPT4_prompt_28_ReputationSystem_slither_report_1.txt","22"
"iter4 - GPT4_prompt_29_EncryptedDataStore_slither_report_1.txt","21"
"iter4 - GPT4_prompt_3_Crowdfunding_slither_report_1.txt","39"
"iter4 - GPT4_prompt_30_TimeBasedAuction_slither_report_1.txt","39"
"iter4 - GPT4_prompt_31_FeeVault_slither_report_1.txt","21"
"iter4 - GPT4_prompt_32_TaskReward_slither_report_1.txt","37"
"iter4 - GPT4_prompt_33_CommunityProposals_slither_report_1.txt","33"
"iter4 - GPT4_prompt_34_LikeableMessages_slither_report_1.txt","31"
"iter4 - GPT4_prompt_35_PausableTransfer_slither_report_1.txt","34"
"iter4 - GPT4_prompt_4_TokenVesting_slither_report_1.txt","33"
"iter4 - GPT4_prompt_5_Marketplace_slither_report_1.txt","29"
"iter4 - GPT4_prompt_6_LikeTracker_slither_report_1.txt","12"
"iter4 - GPT4_prompt_7_SimpleVoting_slither_report_1.txt","43"
"iter4 - GPT4_prompt_8_MessageBoard_slither_report_1.txt","22"
"iter4 - GPT4_prompt_9_LoyaltyPoints_slither_report_1.txt","20"
"iter5 - Claude4.5_prompt_1_SavingsWallet_slither_report_1.txt","29"
"iter5 - Claude4.5_prompt_10_StakingContract_slither_report_1.txt","84"
"iter5 - Claude4.5_prompt_11_SubscriptionSystem_slither_report_1.txt","80"
"iter5 - Claude4.5_prompt_12_FeedbackSystem_slither_report_1.txt","103"
"iter5 - Claude4.5_prompt_13_CharityDonation_slither_report_1.txt","115"
"iter5 - Claude4.5_prompt_14_TokenFaucet_slither_report_1.txt","79"
"iter5 - Claude4.5_prompt_15_ETHDistributor_slither_report_1.txt","80"
"iter5 - Claude4.5_prompt_16_Escrow_slither_report_1.txt","107"
"iter5 - Claude4.5_prompt_17_Raffle_slither_report_1.txt","116"
"iter5 - Claude4.5_prompt_18_JobBoard_slither_report_1.txt","131"
"iter5 - Claude4.5_prompt_19_ToDoList_slither_report_1.txt","125"
"iter5 - Claude4.5_prompt_2_NameRegistry_slither_report_1.txt","43"
"iter5 - Claude4.5_prompt_20_PropertyRegistry_slither_report_1.txt","130"
"iter5 - Claude4.5_prompt_21_EventAttendance_slither_report_1.txt","144"
"iter5 - Claude4.5_prompt_22_TokenAirdrop_slither_report_1.txt","135"
"iter5 - Claude4.5_prompt_23_TipJar_slither_report_1.txt","159"
"iter5 - Claude4.5_prompt_24_VotingAccessControl_slither_report_1.txt","182"
"iter5 - Claude4.5_prompt_25_DecentralizedNameService_slither_report_1.txt","133"
"iter5 - Claude4.5_prompt_26_RecurringPayment_slither_report_1.txt","164"
"iter5 - Claude4.5_prompt_27_DigitalCertificateNFT_slither_report_1.txt","167"
"iter5 - Claude4.5_prompt_28_ReputationSystem_slither_report_1.txt","176"
"iter5 - Claude4.5_prompt_29_EncryptedDataStorage_slither_report_1.txt","162"
"iter5 - Claude4.5_prompt_3_Crowdfunding_slither_report_1.txt","69"
"iter5 - Claude4.5_prompt_30_TimeBasedAuction_slither_report_1.txt","182"
"iter5 - Claude4.5_prompt_31_DepositWithFee_slither_report_1.txt","73"
"iter5 - Claude4.5_prompt_32_TaskRewardSystem_slither_report_1.txt","189"
"iter5 - Claude4.5_prompt_33_CommunityProposals_slither_report_1.txt","198"
"iter5 - Claude4.5_prompt_34_MessageBoard_slither_report_1.txt","180"
"iter5 - Claude4.5_prompt_35_PausableTransfer_slither_report_1.txt","94"
"iter5 - Claude4.5_prompt_4_TokenVesting_slither_report_1.txt","93"
"iter5 - Claude4.5_prompt_5_Marketplace_slither_report_1.txt","86"
"iter5 - Claude4.5_prompt_6_LikeTracker_slither_report_1.txt","28"
"iter5 - Claude4.5_prompt_7_VotingSystem_slither_report_1.txt","92"
"iter5 - Claude4.5_prompt_8_MessageBoard_slither_report_1.txt","74"
"iter5 - Claude4.5_prompt_9_LoyaltyPoints_slither_report_1.txt","44"
"iter5 - Gemini2.5_prompt_1_SavingsWallet_slither_report_1.txt","64"
"iter5 - Gemini2.5_prompt_10_ETHLocker_slither_report_1.txt","99"
"iter5 - Gemini2.5_prompt_11_SubscriptionService_slither_report_1.txt","88"
"iter5 - Gemini2.5_prompt_12_FeedbackSystem_slither_report_1.txt","88"
"iter5 - Gemini2.5_prompt_13_CharityDonationTracker_slither_report_1.txt","83"
"iter5 - Gemini2.5_prompt_14_TokenFaucet_slither_report_1.txt","96"
"iter5 - Gemini2.5_prompt_15_ETHDistributor_slither_report_1.txt","71"
"iter5 - Gemini2.5_prompt_16_SimpleEscrow_slither_report_1.txt","104"
"iter5 - Gemini2.5_prompt_17_OnChainRaffle_slither_report_1.txt","90"
"iter5 - Gemini2.5_prompt_18_JobBoard_slither_report_1.txt","81"
"iter5 - Gemini2.5_prompt_19_ToDoList_slither_report_1.txt","73"
"iter5 - Gemini2.5_prompt_2_NameRegistry_slither_report_1.txt","92"
"iter5 - Gemini2.5_prompt_20_PropertyRegistry_slither_report_1.txt","93"
"iter5 - Gemini2.5_prompt_21_EventAttendance_slither_report_1.txt","56"
"iter5 - Gemini2.5_prompt_22_TokenAirdrop_slither_report_1.txt","52"
"iter5 - Gemini2.5_prompt_23_TipJar_slither_report_1.txt","39"
"iter5 - Gemini2.5_prompt_24_VotingBasedAccessControl_slither_report_1.txt","83"
"iter5 - Gemini2.5_prompt_25_BasicNameService_slither_report_1.txt","50"
"iter5 - Gemini2.5_prompt_26_RecurringPayments_slither_report_1.txt","56"
"iter5 - Gemini2.5_prompt_27_DigitalCertificate_slither_report_1.txt","36"
"iter5 - Gemini2.5_prompt_28_ReputationSystem_slither_report_1.txt","52"
"iter5 - Gemini2.5_prompt_29_EncryptedDataRegistry_slither_report_1.txt","60"
"iter5 - Gemini2.5_prompt_3_CrowdFund_slither_report_1.txt","117"
"iter5 - Gemini2.5_prompt_30_TimeBasedAuction_slither_report_1.txt","44"
"iter5 - Gemini2.5_prompt_31_FeeBasedWallet_slither_report_1.txt","35"
"iter5 - Gemini2.5_prompt_32_TaskRewardSystem_slither_report_1.txt","57"
"iter5 - Gemini2.5_prompt_33_CommunityProposals_slither_report_1.txt","68"
"iter5 - Gemini2.5_prompt_34_MessagingWithLikes_slither_report_1.txt","44"
"iter5 - Gemini2.5_prompt_35_PausableWallet_slither_report_1.txt","59"
"iter5 - Gemini2.5_prompt_4_TokenVesting_slither_report_1.txt","101"
"iter5 - Gemini2.5_prompt_5_SimpleMarketplace_slither_report_1.txt","102"
"iter5 - Gemini2.5_prompt_6_LikeTracker_slither_report_1.txt","50"
"iter5 - Gemini2.5_prompt_7_SimpleVoting_slither_report_1.txt","123"
"iter5 - Gemini2.5_prompt_8_MessageBoard_slither_report_1.txt","66"
"iter5 - Gemini2.5_prompt_9_LoyaltyPoints_slither_report_1.txt","73"
"iter5 - GPT4_prompt_1_SavingsWallet_slither_report_1.txt","21"
"iter5 - GPT4_prompt_10_EthLocker_slither_report_1.txt","43"
"iter5 - GPT4_prompt_11_Subscription_slither_report_1.txt","25"
"iter5 - GPT4_prompt_12_Feedback_slither_report_1.txt","28"
"iter5 - GPT4_prompt_13_CharityTracker_slither_report_1.txt","30"
"iter5 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt","21"
"iter5 - GPT4_prompt_15_EthDistributor_slither_report_1.txt","27"
"iter5 - GPT4_prompt_16_Escrow_slither_report_1.txt","34"
"iter5 - GPT4_prompt_17_Raffle_slither_report_1.txt","38"
"iter5 - GPT4_prompt_18_JobBoard_slither_report_1.txt","39"
"iter5 - GPT4_prompt_19_TodoList_slither_report_1.txt","32"
"iter5 - GPT4_prompt_2_NameRegistry_slither_report_1.txt","26"
"iter5 - GPT4_prompt_20_PropertyRegistry_slither_report_1.txt","34"
"iter5 - GPT4_prompt_21_EventAttendance_slither_report_1.txt","16"
"iter5 - GPT4_prompt_22_TokenAirdrop_slither_report_1.txt","34"
"iter5 - GPT4_prompt_23_TipJar_slither_report_1.txt","21"
"iter5 - GPT4_prompt_24_VotingAccessControl_slither_report_1.txt","55"
"iter5 - GPT4_prompt_25_DecentralizedNameService_slither_report_1.txt","40"
"iter5 - GPT4_prompt_26_RecurringPayments_slither_report_1.txt","48"
"iter5 - GPT4_prompt_27_CertificateNFT_slither_report_1.txt","21"
"iter5 - GPT4_prompt_28_ReputationSystem_slither_report_1.txt","22"
"iter5 - GPT4_prompt_29_EncryptedDataStore_slither_report_1.txt","25"
"iter5 - GPT4_prompt_3_Crowdfunding_slither_report_1.txt","39"
"iter5 - GPT4_prompt_30_TimeAuction_slither_report_1.txt","41"
"iter5 - GPT4_prompt_31_FeeVault_slither_report_1.txt","28"
"iter5 - GPT4_prompt_32_TaskReward_slither_report_1.txt","48"
"iter5 - GPT4_prompt_33_CommunityProposals_slither_report_1.txt","62"
"iter5 - GPT4_prompt_34_MessageWithLikes_slither_report_1.txt","38"
"iter5 - GPT4_prompt_35_PausableVault_slither_report_1.txt","41"
"iter5 - GPT4_prompt_4_TokenVesting_slither_report_1.txt","37"
"iter5 - GPT4_prompt_5_Marketplace_slither_report_1.txt","35"
"iter5 - GPT4_prompt_6_LikeTracker_slither_report_1.txt","14"
"iter5 - GPT4_prompt_7_SimpleVoting_slither_report_1.txt","46"
"iter5 - GPT4_prompt_8_MessageBoard_slither_report_1.txt","27"
"iter5 - GPT4_prompt_9_LoyaltyPoints_slither_report_1.txt","27"
"iter6 - Claude4.5_prompt_1_SavingsWallet_slither_report_1.txt","73"
"iter6 - Claude4.5_prompt_10_StakingVault_slither_report_1.txt","207"
"iter6 - Claude4.5_prompt_11_SubscriptionService_slither_report_1.txt","231"
"iter6 - Claude4.5_prompt_12_FeedbackSystem_slither_report_1.txt","236"
"iter6 - Claude4.5_prompt_13_CharityDonationTracker_slither_report_1.txt","248"
"iter6 - Claude4.5_prompt_14_TokenFaucet_slither_report_1.txt","203"
"iter6 - Claude4.5_prompt_15_ETHDistributor_slither_report_1.txt","150"
"iter6 - Claude4.5_prompt_16_Escrow_slither_report_1.txt","241"
"iter6 - Claude4.5_prompt_17_Raffle_slither_report_1.txt","235"
"iter6 - Claude4.5_prompt_18_JobBoard_slither_report_1.txt","310"
"iter6 - Claude4.5_prompt_19_ToDoList_slither_report_1.txt","304"
"iter6 - Claude4.5_prompt_2_NameRegistry_slither_report_1.txt","96"
"iter6 - Claude4.5_prompt_20_PropertyRegistry_slither_report_1.txt","220"
"iter6 - Claude4.5_prompt_21_AttendanceLogger_slither_report_1.txt","258"
"iter6 - Claude4.5_prompt_22_TokenAirdrop_slither_report_1.txt","293"
"iter6 - Claude4.5_prompt_23_TipJar_slither_report_1.txt","309"
"iter6 - Claude4.5_prompt_24_VotingAccessControl_slither_report_1.txt","312"
"iter6 - Claude4.5_prompt_25_DecentralizedNameService_slither_report_1.txt","266"
"iter6 - Claude4.5_prompt_26_RecurringPayment_slither_report_1.txt","294"
"iter6 - Claude4.5_prompt_27_DigitalCertificate_slither_report_1.txt","327"
"iter6 - Claude4.5_prompt_28_ReputationSystem_slither_report_1.txt","358"
"iter6 - Claude4.5_prompt_29_EncryptedDataStorage_slither_report_1.txt","301"
"iter6 - Claude4.5_prompt_3_Crowdfunding_slither_report_1.txt","129"
"iter6 - Claude4.5_prompt_30_TimeBasedAuction_slither_report_1.txt","327"
"iter6 - Claude4.5_prompt_31_DepositWithdrawalFee_slither_report_1.txt","193"
"iter6 - Claude4.5_prompt_32_TaskRewardSystem_slither_report_1.txt","374"
"iter6 - Claude4.5_prompt_33_CommunityProposals_slither_report_1.txt","390"
"iter6 - Claude4.5_prompt_34_OnChainMessaging_slither_report_1.txt","351"
"iter6 - Claude4.5_prompt_35_PausableETHTransfer_slither_report_1.txt","332"
"iter6 - Claude4.5_prompt_4_TokenVesting_slither_report_1.txt","169"
"iter6 - Claude4.5_prompt_5_Marketplace_slither_report_1.txt","163"
"iter6 - Claude4.5_prompt_6_LikeTracker_slither_report_1.txt","76"
"iter6 - Claude4.5_prompt_7_VotingSystem_slither_report_1.txt","186"
"iter6 - Claude4.5_prompt_8_MessageBoard_slither_report_1.txt","141"
"iter6 - Claude4.5_prompt_9_LoyaltyPoints_slither_report_1.txt","144"
"iter6 - Gemini2.5_prompt_1_SavingsWallet_slither_report_1.txt","21"
"iter6 - Gemini2.5_prompt_10_ETHLocker_slither_report_1.txt","96"
"iter6 - Gemini2.5_prompt_10_TimeLockedWallet_slither_report_1.txt","34"
"iter6 - Gemini2.5_prompt_11_Subscription_slither_report_1.txt","35"
"iter6 - Gemini2.5_prompt_11_SubscriptionService_slither_report_1.txt","76"
"iter6 - Gemini2.5_prompt_12_Feedback_slither_report_1.txt","27"
"iter6 - Gemini2.5_prompt_12_FeedbackSystem_slither_report_1.txt","66"
"iter6 - Gemini2.5_prompt_13_CharityDonations_slither_report_1.txt","37"
"iter6 - Gemini2.5_prompt_13_CharityDonationTracker_slither_report_1.txt","70"
"iter6 - Gemini2.5_prompt_14_TokenFaucet_slither_report_1.txt","24"
"iter6 - Gemini2.5_prompt_15_Distributor_slither_report_1.txt","28"
"iter6 - Gemini2.5_prompt_15_ETHDistributor_slither_report_1.txt","66"
"iter6 - Gemini2.5_prompt_16_Escrow_slither_report_1.txt","48"
"iter6 - Gemini2.5_prompt_16_SimpleEscrow_slither_report_1.txt","96"
"iter6 - Gemini2.5_prompt_17_OnChainRaffle_slither_report_1.txt","80"
"iter6 - Gemini2.5_prompt_17_Raffle_slither_report_1.txt","35"
"iter6 - Gemini2.5_prompt_18_JobBoard_slither_report_1.txt","45"
"iter6 - Gemini2.5_prompt_19_ToDoList_slither_report_1.txt","29"
"iter6 - Gemini2.5_prompt_2_NameRegistry_slither_report_1.txt","26"
"iter6 - Gemini2.5_prompt_20_PropertyRegistry_slither_report_1.txt","38"
"iter6 - Gemini2.5_prompt_21_AttendanceLogger_slither_report_1.txt","23"
"iter6 - Gemini2.5_prompt_21_EventAttendance_slither_report_1.txt","93"
"iter6 - Gemini2.5_prompt_22_Airdrop_slither_report_1.txt","31"
"iter6 - Gemini2.5_prompt_22_TokenAirdrop_slither_report_1.txt","71"
"iter6 - Gemini2.5_prompt_23_TipJar_slither_report_1.txt","20"
"iter6 - Gemini2.5_prompt_24_AdminAccessControl_slither_report_1.txt","63"
"iter6 - Gemini2.5_prompt_24_AdminVoting_slither_report_1.txt","133"
"iter6 - Gemini2.5_prompt_25_DecentralizedNameService_slither_report_1.txt","32"
"iter6 - Gemini2.5_prompt_26_RecurringPayments_slither_report_1.txt","73"
"iter6 - Gemini2.5_prompt_27_DigitalCertificate_slither_report_1.txt","28"
"iter6 - Gemini2.5_prompt_28_ReputationSystem_slither_report_1.txt","27"
"iter6 - Gemini2.5_prompt_29_DataStore_slither_report_1.txt","31"
"iter6 - Gemini2.5_prompt_29_EncryptedDataRegistry_slither_report_1.txt","64"
"iter6 - Gemini2.5_prompt_3_Crowdfunding_slither_report_1.txt","65"
"iter6 - Gemini2.5_prompt_30_TimeBasedAuction_slither_report_1.txt","51"
"iter6 - Gemini2.5_prompt_31_FeeBasedWallet_slither_report_1.txt","31"
"iter6 - Gemini2.5_prompt_32_TaskReward_slither_report_1.txt","41"
"iter6 - Gemini2.5_prompt_32_TaskRewardSystem_slither_report_1.txt","88"
"iter6 - Gemini2.5_prompt_33_CommunityProposals_slither_report_1.txt","57"
"iter6 - Gemini2.5_prompt_34_LikableMessages_slither_report_1.txt","39"
"iter6 - Gemini2.5_prompt_34_SocialMessaging_slither_report_1.txt","79"
"iter6 - Gemini2.5_prompt_35_PausableWallet_slither_report_1.txt","93"
"iter6 - Gemini2.5_prompt_4_TokenVesting_slither_report_1.txt","49"
"iter6 - Gemini2.5_prompt_5_SimpleMarketplace_slither_report_1.txt","47"
"iter6 - Gemini2.5_prompt_6_LikeTracker_slither_report_1.txt","17"
"iter6 - Gemini2.5_prompt_7_SimpleVoting_slither_report_1.txt","79"
"iter6 - Gemini2.5_prompt_7_VotingSystem_slither_report_1.txt","39"
"iter6 - Gemini2.5_prompt_8_MessageBoard_slither_report_1.txt","23"
"iter6 - Gemini2.5_prompt_9_LoyaltyPoints_slither_report_1.txt","28"
"iter6 - GPT4_prompt_1_SavingsWallet_slither_report_1.txt","23"
"iter6 - GPT4_prompt_10_EthLocker_slither_report_1.txt","41"
"iter6 - GPT4_prompt_11_Subscription_slither_report_1.txt","20"
"iter6 - GPT4_prompt_12_Feedback_slither_report_1.txt","30"
"iter6 - GPT4_prompt_13_CharityTracker_slither_report_1.txt","29"
"iter6 - GPT4_prompt_14_TokenFaucet_slither_report_1.txt","21"
"iter6 - GPT4_prompt_15_EthDistributor_slither_report_1.txt","24"
"iter6 - GPT4_prompt_16_Escrow_slither_report_1.txt","58"
"iter6 - GPT4_prompt_17_Raffle_slither_report_1.txt","41"
"iter6 - GPT4_prompt_18_JobBoard_slither_report_1.txt","37"
"iter6 - GPT4_prompt_19_TodoList_slither_report_1.txt","32"
"iter6 - GPT4_prompt_2_NameRegistry_slither_report_1.txt","26"
"iter6 - GPT4_prompt_20_PropertyRegistry_slither_report_1.txt","35"
"iter6 - GPT4_prompt_21_EventAttendance_slither_report_1.txt","19"
"iter6 - GPT4_prompt_22_TokenAirdrop_slither_report_1.txt","25"
"iter6 - GPT4_prompt_23_TipJar_slither_report_1.txt","24"
"iter6 - GPT4_prompt_24_VotingAccessControl_slither_report_1.txt","57"
"iter6 - GPT4_prompt_25_DecentralizedNameService_slither_report_1.txt","38"
"iter6 - GPT4_prompt_26_RecurringPayments_slither_report_1.txt","48"
"iter6 - GPT4_prompt_27_CertificateNFT_slither_report_1.txt","16"
"iter6 - GPT4_prompt_28_ReputationSystem_slither_report_1.txt","25"
"iter6 - GPT4_prompt_29_EncryptedDataStore_slither_report_1.txt","22"
"iter6 - GPT4_prompt_3_Crowdfunding_slither_report_1.txt","49"
"iter6 - GPT4_prompt_30_TimeAuction_slither_report_1.txt","43"
"iter6 - GPT4_prompt_31_FeeVault_slither_report_1.txt","37"
"iter6 - GPT4_prompt_32_TaskReward_slither_report_1.txt","49"
"iter6 - GPT4_prompt_33_CommunityProposals_slither_report_1.txt","51"
"iter6 - GPT4_prompt_34_MessageWithLikes_slither_report_1.txt","38"
"iter6 - GPT4_prompt_35_PausableVault_slither_report_1.txt","39"
"iter6 - GPT4_prompt_4_TokenVesting_slither_report_1.txt","40"
